,id,area_shot,area_goal,opps_in_n_angle,goalkeeper_x,goalkeeper_y
0,0d58fd05-2175-48d8-a9b6-2085920f1812,4889.349843325667,963.0351785563623,0.0,102.15833333333333,31.621
1,1a51b69d-9349-4f3e-b728-d4d4f640277d,4712.681652550854,475.2224286203956,2.0,103.625,32.9935
2,1be47882-9e57-44b9-9637-364eb7ee8dc4,4632.537881680301,382.55948262957116,0.0,101.88333333333333,29.60666666666667
3,25e512a2-6ce0-41db-8749-88d988947058,3836.901495479679,757.2061309602863,1.0,101.97500000000001,29.60666666666667
4,3ece6827-76fa-4ae1-8c4c-ef4af1ae4c4e,5272.748045022011,200.23906139207523,3.0,104.45,36.4705
5,537f7379-0bf7-4bd4-be7f-7cc25c43de98,6900.4675567997365,613.8954360812,2.0,104.45,32.4445
6,5b85e66c-a60b-40c2-8cf5-92c792f16e20,4476.252152040973,842.2308775211276,4.0,103.71666666666667,33.45099999999999
7,694ecabf-3ef7-4605-9924-06996fad5e33,2623.000762381734,1740.666807788945,1.0,103.80833333333334,35.738499999999995
8,6fe8580c-e017-46a5-9379-eb8fe4a4ab18,6973.965411487389,606.7114013993319,1.0,104.63333333333333,37.111
9,7b728a6c-d483-4e5b-8061-a0b849722cea,1133.132284724375,468.30577463360555,3.0,102.70833333333333,35.738499999999995
10,8439b96b-fc49-4511-9628-059c2c996a83,3724.2098128638727,1794.5670664438517,0.0,99.40833333333333,31.529499999999995
11,85f34abb-431e-4de1-b2a9-a17764042a3c,4290.434559837905,1394.4248730776048,0.0,99.59166666666667,39.401666666666664
12,8a84dc14-d39f-420b-b94a-a0269ffb4061,2976.226364066318,652.7016856298047,2.0,103.89999999999999,32.719
13,9935ebf4-9a30-4ce8-9d8d-d5fdd1757df8,4196.257996766403,1644.400815062378,1.0,103.625,32.0785
14,9bdbfc3d-959d-4fc4-bac2-6b5d154191e9,3791.8777120118643,1048.1945867607274,1.0,103.89999999999999,31.529499999999995
15,9c0ec486-fade-48fe-b57d-28a6a5e175ae,4442.202603990156,1003.381130858823,0.0,102.25,31.255
16,a2068f0f-d4fd-44e3-b1a2-2497d7b47b0a,317.530346271022,1126.3669069920152,1.0,104.175,35.83
17,b7858c5c-e410-46ca-b310-5c779e86b45b,529.8843770899737,643.8994225164403,2.0,103.53333333333333,36.562
18,c083e176-9fea-4b08-aae7-27d32df2e1de,4513.812765507819,319.8187026282673,4.0,103.53333333333333,36.745
19,ce34292d-68c7-40e9-a949-31c5fc7f2ec7,1896.9022451928026,1086.456634556836,1.0,104.45,36.653499999999994
20,d6028750-95eb-4b5f-81c3-a391434f1c15,5008.375818892501,554.0943485183645,2.0,103.075,32.2615
21,db9cc459-2dbe-42b8-8c75-e50d1b49bdc5,3969.499271579904,1197.269435296667,0.0,102.34166666666667,37.843333333333334
22,dcc3c9f6-1b25-4fb4-ae1a-5dcf52d16769,5509.133803346381,286.59140357456215,2.0,102.06666666666666,31.621
23,e24077b9-2ca6-4680-9e8e-761bc9ba4845,2081.644722559197,1775.701161156759,1.0,103.44166666666666,35.5555
24,e4f431c7-7a15-4135-83f4-0346822a8874,3585.782124338039,1059.2599955693508,3.0,103.35000000000001,35.281
25,f83c4037-4801-4a23-bc2b-addf2a525e5f,915.2760773682638,1244.8815520391236,2.0,104.08333333333333,32.719
26,fd483962-7c2c-4c48-bdef-dd4bcd00801c,1570.8806557843068,860.2865791571364,1.0,103.80833333333334,31.7125
27,02ea58e2-78c0-440a-8576-96528671f3f7,6441.44916072938,275.0706263070889,6.0,104.08333333333333,34.0
28,06c3e5a4-8e86-4831-88fd-1aaf4d5660b1,2293.448820154911,1099.051734112666,0.0,96.75,29.423333333333332
29,20507974-be4f-4f96-80cb-e9953d9efd7f,3570.5607647252414,286.65273348033475,6.0,105.0,34.0
30,20b39598-e630-4ceb-a23b-c67b168f0c42,3100.101338411004,695.1578012519174,2.0,103.16666666666667,34.915
31,2afad766-e62a-4b7f-aed7-4643cbca5e68,3793.6319980273356,462.31497437187886,2.0,103.16666666666667,34.0
32,3a551b34-3c68-49ca-bb7d-b24807db33e6,4473.983509775923,1509.4565131611055,3.0,104.08333333333333,34.915
33,4a42154d-57c7-42b1-9d64-cdc838bcf0f2,4312.8644148258845,541.7938410262392,1.0,103.16666666666667,32.17
34,5747590e-a967-4ec9-83ab-c77f1d515560,4129.040798555996,739.0201456127523,2.0,103.16666666666667,34.0
35,5e00c28f-e68d-4d62-9da2-049e2fa01f3b,5450.407570180396,783.1326967093165,2.0,104.08333333333333,33.085
36,762cf75e-6295-4e31-95e1-6503eb4ad461,199.71645302338288,1200.0156053867727,2.0,103.16666666666667,34.0
37,7816c756-d091-4970-bd99-2a2e5d79a456,4233.715973358372,994.1430506115097,3.0,104.08333333333333,34.0
38,7fc10e2f-5cb6-4537-ac98-5d35f08b75a0,6117.776418215384,98.63206344390454,5.0,104.08333333333333,35.83
39,872adc16-635d-40c8-bfa3-e7a6456660e8,3809.1005462517332,813.5464700845585,2.0,104.08333333333333,34.0
40,94180e0d-0207-4323-aca4-fa8cd3061f0c,5379.477108745677,233.72920269995726,5.0,104.08333333333333,35.83
41,9f783c04-8950-48d2-9bdf-6b651ec93c7a,4002.72898402563,732.2083088959859,1.0,104.08333333333333,32.17
42,acdbbfda-3e20-40f3-babd-2b025dd1612e,3451.6103430739786,1531.690885341859,1.0,102.25,33.085
43,d7838bac-24e1-4c3f-9596-34af112f9aa5,6078.850587257619,914.698725144555,1.0,103.16666666666667,32.17
44,f0f68df6-f633-4238-9b3c-c87e641096e3,456.5350831469318,1178.3923957817506,3.0,104.08333333333333,33.085
45,f3d69066-ef4c-41e2-8595-8be555824901,4088.8604213872995,866.4335759833796,2.0,103.16666666666667,33.085
46,f8681bba-1cbd-46da-ae4d-f82176043309,3352.196633056607,1203.137358154051,2.0,105.0,32.17
47,fbcabd11-c3df-4311-bac3-4f6777de6936,5641.967220092217,236.82403328517793,4.0,105.0,34.0
48,12092a46-bc36-4f00-91f6-767ef8601ae1,4777.720047204392,589.8223508217791,3.0,104.08333333333333,34.0
49,13933d30-56e3-4900-b942-0ee01af8ed1f,5777.38235400705,307.2854609441637,4.0,104.08333333333333,36.745
